TimeGenerated,EventID,Process,AppDomain
2018-12-20 21:45:45,53504,1928,DefaultAppDomain
2018-12-23 03:28:53,53504,1160,DefaultAppDomain
2019-01-02 17:00:35,53504,5576,DefaultAppDomain
2019-01-12 01:10:45,53504,2812,DefaultAppDomain
2020-11-07 19:35:40,53504,3352,DefaultAppDomain
2020-11-07 20:21:30,53504,7312,DefaultAppDomain
2020-11-07 20:43:58,53504,7132,DefaultAppDomain
2020-11-14 12:58:24,53504,2396,DefaultAppDomain
2020-11-15 15:32:40,53504,8044,DefaultAppDomain
2020-11-22 17:12:11,53504,3932,DefaultAppDomain
2020-11-29 17:19:00,53504,3272,DefaultAppDomain
2020-11-30 20:11:56,53504,6284,DefaultAppDomain
2020-11-30 20:12:17,53504,4876,DefaultAppDomain
2020-12-01 13:58:36,53504,1256,DefaultAppDomain
2020-12-01 14:05:55,53504,3080,DefaultAppDomain
2020-12-01 14:06:29,53504,3412,DefaultAppDomain
2020-12-01 14:26:42,53504,6140,DefaultAppDomain
2020-12-01 14:43:37,53504,4316,DefaultAppDomain
2020-12-01 14:45:01,53504,6284,DefaultAppDomain
2020-12-05 23:21:24,53504,6776,DefaultAppDomain
2020-12-06 17:24:46,53504,7496,DefaultAppDomain
2020-12-07 17:41:44,53504,10604,DefaultAppDomain
2021-02-03 18:31:44,53504,2524,DefaultAppDomain
2021-02-07 11:00:46,53504,7576,DefaultAppDomain
2021-02-24 10:33:05,53504,9516,DefaultAppDomain
2021-03-04 14:12:37,53504,10036,DefaultAppDomain
2021-03-09 14:22:53,53504,7296,DefaultAppDomain
2021-03-17 15:16:01,53504,8588,DefaultAppDomain
2021-03-21 15:46:08,53504,1048,DefaultAppDomain
2021-03-31 17:09:50,53504,7776,DefaultAppDomain
2021-04-11 17:05:44,53504,4004,DefaultAppDomain
2021-04-23 11:17:59,53504,12308,DefaultAppDomain
2021-05-04 21:06:41,53504,7320,DefaultAppDomain
2021-05-18 19:05:38,53504,10412,DefaultAppDomain
2021-06-06 17:06:24,53504,11080,DefaultAppDomain
2021-08-03 15:05:32,53504,4440,DefaultAppDomain
2021-08-15 15:14:20,53504,8692,DefaultAppDomain
2021-08-22 14:52:37,53504,10060,DefaultAppDomain
2021-08-22 14:53:14,53504,852,DefaultAppDomain
2021-08-22 14:53:20,53504,8988,DefaultAppDomain
2021-08-22 15:17:22,53504,9620,DefaultAppDomain
2021-08-22 15:53:39,53504,7180,DefaultAppDomain
2021-09-01 17:14:06,53504,10428,DefaultAppDomain
2021-09-12 09:14:03,53504,9528,DefaultAppDomain
2021-09-20 11:15:56,53504,2676,DefaultAppDomain
2021-09-20 11:38:27,53504,9452,DefaultAppDomain
2021-09-20 11:39:10,53504,8576,DefaultAppDomain
2021-09-20 11:39:10,53504,10268,DefaultAppDomain
2021-09-20 11:40:05,53504,3324,DefaultAppDomain
2021-09-20 11:41:51,53504,2376,DefaultAppDomain
