TimeGenerated,EventID,Username,Domain,LogonID
2018-11-29 08:55:50,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 08:55:52,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 08:55:53,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 08:56:06,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 08:56:57,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 08:56:58,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 11:51:49,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 11:51:49,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 11:51:50,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 13:39:46,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 13:39:46,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 13:39:48,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 13:39:49,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 16:25:51,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 16:57:36,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 19:41:02,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 19:41:02,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 19:41:02,4672,NETWORK SERVICE,NT AUTHORITY,0x3e4
2018-11-29 19:41:02,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 19:41:02,4672,DWM-1,Window Manager,0x12d4d
2018-11-29 19:41:02,4672,DWM-1,Window Manager,0x12d6a
2018-11-29 19:41:02,4672,LOCAL SERVICE,NT AUTHORITY,0x3e5
2018-11-29 19:41:02,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 19:41:02,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 19:41:02,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 19:41:02,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 19:41:03,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 19:41:03,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 19:41:03,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 19:41:03,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 19:41:03,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 19:41:03,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 19:41:03,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 19:41:03,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 19:41:04,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 19:41:04,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 19:41:04,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 19:41:04,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 19:41:04,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 19:41:04,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 19:41:04,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 19:41:04,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 19:41:06,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 19:41:06,4672,SYSTEM,NT AUTHORITY,0x3e7
2018-11-29 19:41:32,4672,SYSTEM,NT AUTHORITY,0x3e7
