TimeGenerated,EventID,AccountName,AccountDomain,LogonID,SourceIP,SourcePort,ShareName
2016-10-06 19:50:09,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2053e8a,fe80::4888:72d0:4f06:d1a1,55566,\\*\IPC$
2016-10-06 19:50:09,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2053e8a,fe80::4888:72d0:4f06:d1a1,55566,\\*\SYSVOL
2016-10-06 19:51:01,5140,WIN7_64JP_02$,EXAMPLE,0x2054679,192.168.16.102,49594,\\*\IPC$
2016-10-06 19:52:03,5140,WIN7_64JP_01$,EXAMPLE,0x205477e,192.168.16.101,50164,\\*\IPC$
2016-10-06 19:52:03,5140,WIN7_64JP_01$,EXAMPLE,0x205477e,192.168.16.101,50164,\\*\SYSVOL
2016-10-06 19:53:57,5140,WIN7_64JP_01$,EXAMPLE,0x20548fc,192.168.16.101,50167,\\*\IPC$
2016-10-06 19:54:06,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2054981,fe80::4888:72d0:4f06:d1a1,55572,\\*\SYSVOL
2016-10-06 19:55:13,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2054bde,fe80::4888:72d0:4f06:d1a1,55575,\\*\SYSVOL
2016-10-06 20:00:17,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x20557f3,fe80::4888:72d0:4f06:d1a1,55581,\\*\SYSVOL
2016-10-06 20:00:56,5140,WIN7_64JP_03$,EXAMPLE,0x2055d5a,192.168.16.103,49478,\\*\IPC$
2016-10-06 20:01:54,5140,Administrator,EXAMPLE,0x32cfb,fe80::4888:72d0:4f06:d1a1,55590,\\*\SYSVOL
2016-10-06 20:04:06,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2056889,fe80::4888:72d0:4f06:d1a1,55591,\\*\IPC$
2016-10-06 20:04:06,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2056889,fe80::4888:72d0:4f06:d1a1,55591,\\*\SYSVOL
2016-10-06 20:04:18,5140,LOCAL SERVICE,NT AUTHORITY,0x3e5,fe80::4888:72d0:4f06:d1a1,55592,\\*\IPC$
2016-10-06 20:05:21,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2057270,fe80::4888:72d0:4f06:d1a1,55597,\\*\IPC$
2016-10-06 20:05:21,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2057270,fe80::4888:72d0:4f06:d1a1,55597,\\*\SYSVOL
2016-10-06 20:06:01,5140,WIN7_64JP_02$,EXAMPLE,0x205780f,192.168.16.102,49599,\\*\IPC$
2016-10-06 20:08:57,5140,WIN7_64JP_01$,EXAMPLE,0x2057a71,192.168.16.101,50186,\\*\IPC$
2016-10-06 20:10:25,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2057d1f,fe80::4888:72d0:4f06:d1a1,55605,\\*\SYSVOL
2016-10-06 20:14:06,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x205849e,fe80::4888:72d0:4f06:d1a1,55609,\\*\SYSVOL
2016-10-06 20:15:29,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2058928,fe80::4888:72d0:4f06:d1a1,55612,\\*\SYSVOL
2016-10-06 20:15:56,5140,WIN7_64JP_03$,EXAMPLE,0x2058e5a,192.168.16.103,49479,\\*\IPC$
2016-10-06 20:19:18,5140,LOCAL SERVICE,NT AUTHORITY,0x3e5,fe80::4888:72d0:4f06:d1a1,55616,\\*\IPC$
2016-10-06 20:20:33,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2059846,fe80::4888:72d0:4f06:d1a1,55621,\\*\IPC$
2016-10-06 20:20:33,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2059846,fe80::4888:72d0:4f06:d1a1,55621,\\*\SYSVOL
2016-10-06 20:21:01,5140,WIN7_64JP_02$,EXAMPLE,0x2059dbe,192.168.16.102,49602,\\*\IPC$
2016-10-06 20:23:57,5140,WIN7_64JP_01$,EXAMPLE,0x205a022,192.168.16.101,50196,\\*\IPC$
2016-10-06 20:24:06,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x205a061,fe80::4888:72d0:4f06:d1a1,55627,\\*\IPC$
2016-10-06 20:24:06,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x205a061,fe80::4888:72d0:4f06:d1a1,55627,\\*\SYSVOL
2016-10-06 20:25:37,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x205a5c3,fe80::4888:72d0:4f06:d1a1,55633,\\*\SYSVOL
