TimeGenerated,EventID,User,SessionID,SourceIP
2018-11-20 14:49:11,21,SANS-SIFT\SANSDFIR,1,LOCAL
2018-11-20 15:13:24,21,SANS-SIFT\SANSDFIR,1,LOCAL
2018-11-20 15:40:57,21,SANS-SIFT\SANSDFIR,1,LOCAL
2018-11-20 19:22:49,21,SANS-SIFT\SANSDFIR,1,LOCAL
2018-11-26 04:00:25,21,SANS-SIFT\SANSDFIR,1,LOCAL
2018-11-26 04:06:17,21,SANS-SIFT\SANSDFIR,1,LOCAL
2018-11-26 04:09:48,21,SANS-SIFT\SANSDFIR,1,LOCAL
2018-11-27 23:02:35,21,SANS-SIFT\SANSDFIR,1,LOCAL
2018-11-27 23:57:08,21,SANS-SIFT\SANSDFIR,1,LOCAL
2018-11-28 06:52:09,21,SANS-SIFT\SANSDFIR,1,LOCAL
2018-11-28 06:56:13,21,SANS-SIFT\SANSDFIR,1,LOCAL
2018-11-29 19:44:44,21,SANS-SIFT\SANSDFIR,1,LOCAL
2018-11-30 15:41:43,21,SANS-SIFT\SANSDFIR,1,LOCAL
2018-12-01 15:27:11,21,SANS-SIFT\SANSDFIR,1,LOCAL
2018-12-03 05:59:54,21,SANS-SIFT\SANSDFIR,1,LOCAL
2018-12-05 22:53:38,21,SANS-SIFT\SANSDFIR,1,LOCAL
2018-12-05 23:17:53,21,SANS-SIFT\SANSDFIR,1,LOCAL
2018-12-06 07:04:33,21,SANS-SIFT\SANSDFIR,1,LOCAL
2018-12-06 13:00:42,21,SANS-SIFT\SANSDFIR,1,LOCAL
2018-12-07 04:37:13,21,SANS-SIFT\SANSDFIR,1,LOCAL
2018-12-07 22:15:24,21,SANS-SIFT\SANSDFIR,1,LOCAL
2018-12-09 18:01:13,21,SANS-SIFT\SANSDFIR,1,LOCAL
2018-12-10 06:00:00,21,SANS-SIFT\SANSDFIR,1,LOCAL
2018-12-10 19:15:28,21,SANS-SIFT\SANSDFIR,1,LOCAL
2018-12-11 22:00:31,21,SANS-SIFT\SANSDFIR,1,LOCAL
2018-12-11 22:31:03,21,SANS-SIFT\SANSDFIR,1,LOCAL
2018-12-11 22:35:08,21,SANS-SIFT\SANSDFIR,1,LOCAL
2018-12-12 19:40:48,21,SANS-SIFT\SANSDFIR,1,LOCAL
2018-12-13 23:56:23,21,SANS-SIFT\SANSDFIR,1,LOCAL
2018-12-14 21:13:50,21,SANS-SIFT\SANSDFIR,1,LOCAL
2018-12-14 22:52:02,21,SANS-SIFT\SANSDFIR,1,LOCAL
2018-12-20 21:31:23,21,SANS-SIFT\SANSDFIR,1,LOCAL
2018-12-23 03:23:56,21,SANS-SIFT\SANSDFIR,1,LOCAL
2019-01-02 16:55:06,21,SANS-SIFT\SANSDFIR,1,LOCAL
2019-01-06 02:04:30,21,SANS-SIFT\SANSDFIR,1,LOCAL
2019-01-06 20:28:32,21,SANS-SIFT\SANSDFIR,1,LOCAL
2019-01-07 04:51:45,21,SANS-SIFT\SANSDFIR,1,LOCAL
2019-01-07 05:00:40,21,SANS-SIFT\SANSDFIR,1,LOCAL
2019-01-08 17:28:13,21,SANS-SIFT\SANSDFIR,1,LOCAL
2019-01-11 21:45:27,21,SANS-SIFT\SANSDFIR,1,LOCAL
2019-01-12 21:03:09,21,SANS-SIFT\SANSDFIR,1,LOCAL
2020-11-07 19:21:06,21,SANS-SIFT\SANSDFIR,1,LOCAL
2020-11-07 19:23:37,21,SANS-SIFT\SANSDFIR,1,LOCAL
2020-11-14 11:33:03,21,SANS-SIFT\SANSDFIR,2,192.168.1.10
2020-11-21 16:11:30,21,SANS-SIFT\SANSDFIR,1,LOCAL
2020-11-22 15:14:49,21,SANS-SIFT\SANSDFIR,1,LOCAL
2020-11-27 17:19:45,21,SANS-SIFT\SANSDFIR,1,LOCAL
2020-12-01 13:37:00,21,SANS-SIFT\SANSDFIR,2,192.168.1.10
2021-02-03 18:14:44,21,SANS-SIFT\SANSDFIR,1,LOCAL
2021-02-24 10:24:36,21,SANS-SIFT\SANSDFIR,2,192.168.1.10
2021-03-04 14:02:14,21,SANS-SIFT\SANSDFIR,2,192.168.1.9
2021-03-17 15:09:44,21,SANS-SIFT\SANSDFIR,2,192.168.1.9
2021-08-22 13:21:22,21,SANS-SIFT\SANSDFIR,2,192.168.1.9
