TimeGenerated,EventID,ServiceName,ChangedFrom,ChangedTo
2021-03-17 15:06:05,7040,Background Intelligent Transfer Service,demand start,auto start
2021-03-17 15:16:03,7040,Windows Modules Installer,demand start,auto start
2021-03-17 15:16:03,7040,Windows Modules Installer,auto start,demand start
2021-03-17 15:16:04,7040,Windows Modules Installer,demand start,auto start
2021-03-17 15:16:11,7040,Background Intelligent Transfer Service,auto start,demand start
2021-03-17 15:16:18,7040,Windows Modules Installer,auto start,demand start
2021-03-17 15:21:45,7040,Background Intelligent Transfer Service,demand start,auto start
2021-03-17 15:24:22,7040,Background Intelligent Transfer Service,auto start,demand start
2021-03-17 18:51:45,7040,Background Intelligent Transfer Service,demand start,auto start
2021-03-17 18:54:10,7040,Background Intelligent Transfer Service,auto start,demand start
2021-03-21 15:19:39,7040,Background Intelligent Transfer Service,demand start,auto start
2021-03-21 15:22:13,7040,Background Intelligent Transfer Service,auto start,demand start
2021-03-21 15:45:45,7040,Background Intelligent Transfer Service,demand start,auto start
2021-03-21 15:52:04,7040,Background Intelligent Transfer Service,auto start,demand start
2021-03-21 23:42:00,7040,Background Intelligent Transfer Service,demand start,auto start
2021-03-21 23:44:24,7040,Background Intelligent Transfer Service,auto start,demand start
2021-03-22 14:51:44,7040,Background Intelligent Transfer Service,demand start,auto start
2021-03-22 14:53:46,7040,Background Intelligent Transfer Service,auto start,demand start
2021-03-22 15:19:40,7040,Background Intelligent Transfer Service,demand start,auto start
2021-03-22 15:21:41,7040,Background Intelligent Transfer Service,auto start,demand start
2021-03-31 15:37:55,7040,Background Intelligent Transfer Service,demand start,auto start
2021-03-31 15:40:11,7040,Background Intelligent Transfer Service,auto start,demand start
2021-03-31 17:12:29,7040,Background Intelligent Transfer Service,demand start,auto start
2021-03-31 17:14:29,7040,Background Intelligent Transfer Service,auto start,demand start
2021-04-08 13:06:37,7040,Background Intelligent Transfer Service,demand start,auto start
2021-04-08 13:09:34,7040,Background Intelligent Transfer Service,auto start,demand start
2021-04-11 15:23:15,7040,Background Intelligent Transfer Service,demand start,auto start
2021-04-11 15:25:54,7040,Background Intelligent Transfer Service,auto start,demand start
2021-04-11 17:07:58,7040,Background Intelligent Transfer Service,demand start,auto start
2021-04-11 17:09:58,7040,Background Intelligent Transfer Service,auto start,demand start
2021-04-23 10:48:54,7040,Background Intelligent Transfer Service,demand start,auto start
2021-04-23 11:18:25,7040,Background Intelligent Transfer Service,auto start,demand start
2021-04-23 11:29:58,7040,Background Intelligent Transfer Service,demand start,auto start
2021-04-23 11:31:58,7040,Background Intelligent Transfer Service,auto start,demand start
2021-04-23 11:36:17,7040,Background Intelligent Transfer Service,demand start,auto start
2021-04-23 11:55:58,7040,Background Intelligent Transfer Service,auto start,demand start
2021-05-04 19:33:21,7040,Background Intelligent Transfer Service,demand start,auto start
2021-05-04 19:36:32,7040,Background Intelligent Transfer Service,auto start,demand start
2021-05-04 20:10:38,7040,Background Intelligent Transfer Service,demand start,auto start
2021-05-04 20:12:45,7040,Background Intelligent Transfer Service,auto start,demand start
2021-05-04 21:07:33,7040,Background Intelligent Transfer Service,demand start,auto start
2021-05-04 21:09:33,7040,Background Intelligent Transfer Service,auto start,demand start
2021-05-05 01:55:56,7040,Background Intelligent Transfer Service,demand start,auto start
2021-05-05 01:58:17,7040,Background Intelligent Transfer Service,auto start,demand start
2021-05-05 05:24:15,7040,Background Intelligent Transfer Service,demand start,auto start
2021-05-05 05:26:18,7040,Background Intelligent Transfer Service,auto start,demand start
2021-05-05 06:55:56,7040,Background Intelligent Transfer Service,demand start,auto start
2021-05-05 06:58:04,7040,Background Intelligent Transfer Service,auto start,demand start
2021-05-05 10:00:01,7040,Background Intelligent Transfer Service,demand start,auto start
2021-05-05 10:02:11,7040,Background Intelligent Transfer Service,auto start,demand start
2021-05-05 10:09:18,7040,Background Intelligent Transfer Service,demand start,auto start
2021-05-05 10:11:22,7040,Background Intelligent Transfer Service,auto start,demand start
2021-05-18 18:23:07,7040,Background Intelligent Transfer Service,demand start,auto start
2021-05-05 10:20:55,7040,Background Intelligent Transfer Service,auto start,demand start
2021-05-18 18:40:32,7040,Background Intelligent Transfer Service,demand start,auto start
2021-05-18 18:57:32,7040,Background Intelligent Transfer Service,auto start,demand start
2021-05-18 19:07:44,7040,Background Intelligent Transfer Service,demand start,auto start
2021-05-18 19:09:44,7040,Background Intelligent Transfer Service,auto start,demand start
2021-05-18 20:03:29,7040,Background Intelligent Transfer Service,demand start,auto start
2021-05-18 20:06:47,7040,Background Intelligent Transfer Service,auto start,demand start
2021-05-18 21:48:25,7040,Background Intelligent Transfer Service,demand start,auto start
2021-05-18 21:50:26,7040,Background Intelligent Transfer Service,auto start,demand start
2021-05-19 00:57:47,7040,Background Intelligent Transfer Service,demand start,auto start
2021-05-19 01:08:17,7040,Background Intelligent Transfer Service,auto start,demand start
2021-06-06 16:05:53,7040,Background Intelligent Transfer Service,demand start,auto start
2021-06-06 16:38:16,7040,Background Intelligent Transfer Service,auto start,demand start
2021-06-06 17:06:23,7040,Windows Modules Installer,demand start,auto start
2021-06-06 17:06:53,7040,Windows Modules Installer,auto start,demand start
2021-06-06 17:08:56,7040,Background Intelligent Transfer Service,demand start,auto start
