TimeGenerated,EventID,ProviderName,Code,ProcessID,ProviderPath
2021-08-25 11:29:00,5857,CIMWin32a,0x0,5500,%systemroot%\system32\wbem\wmipcima.dll
2021-08-25 11:29:12,5857,SppProvider,0x0,5500,%SystemRoot%\System32\sppwmi.dll
2021-08-25 11:32:35,5857,CIMWin32,0x0,6300,%systemroot%\system32\wbem\cimwin32.dll
2021-08-25 11:32:36,5857,MS_Power_Management_Event_Provider,0x0,6784,%systemroot%\system32\wbem\cimwin32.dll
2021-08-25 11:33:07,5857,CIMWin32a,0x0,6300,%systemroot%\system32\wbem\wmipcima.dll
2021-08-25 11:33:26,5857,SppProvider,0x0,6300,%SystemRoot%\System32\sppwmi.dll
2021-08-25 11:36:33,5857,WMIProv,0x0,6784,%systemroot%\system32\wbem\wmiprov.dll
2021-08-25 11:59:56,5857,CIMWin32,0x0,4872,%systemroot%\system32\wbem\cimwin32.dll
2021-08-25 11:59:57,5857,MS_Power_Management_Event_Provider,0x0,2792,%systemroot%\system32\wbem\cimwin32.dll
2021-08-25 12:01:52,5857,CIMWin32a,0x0,4872,%systemroot%\system32\wbem\wmipcima.dll
2021-08-25 12:02:00,5857,SppProvider,0x0,4872,%SystemRoot%\System32\sppwmi.dll
2021-08-25 12:04:01,5857,WMIProv,0x0,2792,%systemroot%\system32\wbem\wmiprov.dll
2021-08-25 12:04:51,5857,WmiPerfClass,0x0,2792,C:\Windows\System32\wbem\WmiPerfClass.dll
2021-08-25 12:06:00,5857,CIMWin32,0x0,5396,%systemroot%\system32\wbem\cimwin32.dll
2021-08-25 12:06:01,5857,MS_Power_Management_Event_Provider,0x0,5732,%systemroot%\system32\wbem\cimwin32.dll
2021-08-25 12:07:55,5857,CIMWin32a,0x0,5396,%systemroot%\system32\wbem\wmipcima.dll
2021-08-25 12:10:00,5857,WMIProv,0x0,5732,%systemroot%\system32\wbem\wmiprov.dll
2021-08-25 12:19:09,5857,WMIProv,0x0,5732,%systemroot%\system32\wbem\wmiprov.dll
2021-08-25 12:29:05,5857,Win32_DeviceGuard,0x0,5396,%SystemRoot%\System32\Win32_DeviceGuard.dll
2021-08-25 12:34:24,5857,CIMWin32,0x0,3440,%systemroot%\system32\wbem\cimwin32.dll
2021-08-25 12:34:24,5857,CIMWin32a,0x0,3440,%systemroot%\system32\wbem\wmipcima.dll
2021-08-25 12:46:04,5857,CIMWin32,0x0,11616,%systemroot%\system32\wbem\cimwin32.dll
2021-08-25 12:46:04,5857,CIMWin32a,0x0,11616,%systemroot%\system32\wbem\wmipcima.dll
2021-08-25 12:46:06,5857,WMIProv,0x0,5732,%systemroot%\system32\wbem\wmiprov.dll
2021-08-25 12:50:59,5857,UserProfileProvider,0x0,9156,%systemroot%\system32\profprov.dll
2021-08-25 12:52:04,5857,CIMWin32,0x0,9156,%systemroot%\system32\wbem\cimwin32.dll
2021-08-25 12:56:02,5857,UserProfileProvider,0x0,6268,%systemroot%\system32\profprov.dll
2021-08-25 12:56:05,5857,CIMWin32,0x0,6268,%systemroot%\system32\wbem\cimwin32.dll
2021-08-25 13:06:49,5857,WMIProv,0x0,5732,%systemroot%\system32\wbem\wmiprov.dll
2021-08-25 13:48:42,5857,CIMWin32,0x0,4832,%systemroot%\system32\wbem\cimwin32.dll
2021-08-25 13:48:42,5857,CIMWin32a,0x0,4832,%systemroot%\system32\wbem\wmipcima.dll
2021-08-25 13:57:37,5857,CIMWin32,0x0,8240,%systemroot%\system32\wbem\cimwin32.dll
2021-08-25 14:01:00,5857,CIMWin32,0x0,2772,%systemroot%\system32\wbem\cimwin32.dll
2021-08-25 14:09:23,5857,CIMWin32,0x0,11312,%systemroot%\system32\wbem\cimwin32.dll
2021-08-25 14:13:30,5857,CIMWin32,0x0,7812,%systemroot%\system32\wbem\cimwin32.dll
2021-08-25 14:22:55,5857,Win32_DeviceGuard,0x0,4496,%SystemRoot%\System32\Win32_DeviceGuard.dll
2021-08-25 14:28:03,5857,smbwmiv2,0x0,2376,%SystemRoot%\System32\smbwmiv2.dll
2021-08-25 14:28:04,5857,WMIProv,0x0,5732,%systemroot%\system32\wbem\wmiprov.dll
2021-08-25 14:46:33,5857,CIMWin32,0x0,9704,%systemroot%\system32\wbem\cimwin32.dll
2021-08-25 14:46:33,5857,WmiPerfClass,0x0,5732,C:\Windows\System32\wbem\WmiPerfClass.dll
2021-08-25 14:46:33,5857,MS_NT_EVENTLOG_PROVIDER,0x0,9704,%systemroot%\system32\wbem\ntevt.dll
2021-08-25 14:46:33,5857,Win32_DeviceGuard,0x0,9704,%SystemRoot%\System32\Win32_DeviceGuard.dll
