TimeGenerated,EventID,Username,Domain,LogonType,AuthPackage,Workstation,ProcessName,SourceIP
2018-12-05 23:17:37,4624,SYSTEM,NT AUTHORITY,0,-,-,,-
2018-12-05 23:17:37,4624,UMFD-0,Font Driver Host,2,Advapi  ,-,C:\Windows\System32\wininit.exe,-
2018-12-05 23:17:37,4624,UMFD-1,Font Driver Host,2,Advapi  ,-,C:\Windows\System32\winlogon.exe,-
2018-12-05 23:17:37,4624,DWM-1,Window Manager,2,Advapi  ,-,C:\Windows\System32\winlogon.exe,-
2018-12-05 23:17:37,4624,DWM-1,Window Manager,2,Advapi  ,-,C:\Windows\System32\winlogon.exe,-
2018-12-05 23:17:43,4624,ANONYMOUS LOGON,NT AUTHORITY,3,NtLmSsp ,-,-,-
2018-12-05 23:17:51,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-05 23:17:51,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-05 23:18:11,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-05 23:18:11,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-06 07:01:55,4624,SYSTEM,NT AUTHORITY,0,-,-,,-
2018-12-06 07:01:56,4624,UMFD-0,Font Driver Host,2,Advapi  ,-,C:\Windows\System32\wininit.exe,-
2018-12-06 07:01:56,4624,UMFD-1,Font Driver Host,2,Advapi  ,-,C:\Windows\System32\winlogon.exe,-
2018-12-06 07:01:59,4624,DWM-1,Window Manager,2,Advapi  ,-,C:\Windows\System32\winlogon.exe,-
2018-12-06 07:01:59,4624,DWM-1,Window Manager,2,Advapi  ,-,C:\Windows\System32\winlogon.exe,-
2018-12-06 07:03:19,4624,ANONYMOUS LOGON,NT AUTHORITY,3,NtLmSsp ,-,-,-
2018-12-06 07:04:31,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-06 07:04:31,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-06 12:59:39,4624,SYSTEM,NT AUTHORITY,0,-,-,,-
2018-12-06 12:59:39,4624,UMFD-1,Font Driver Host,2,Advapi  ,-,C:\Windows\System32\winlogon.exe,-
2018-12-06 12:59:39,4624,UMFD-0,Font Driver Host,2,Advapi  ,-,C:\Windows\System32\wininit.exe,-
2018-12-06 12:59:50,4624,DWM-1,Window Manager,2,Advapi  ,-,C:\Windows\System32\winlogon.exe,-
2018-12-06 12:59:50,4624,DWM-1,Window Manager,2,Advapi  ,-,C:\Windows\System32\winlogon.exe,-
2018-12-06 13:00:36,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-06 13:00:36,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-06 18:02:25,4624,ANONYMOUS LOGON,NT AUTHORITY,3,NtLmSsp ,-,-,-
2018-12-06 18:22:53,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-06 18:22:53,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-07 02:03:28,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-07 02:03:28,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-07 04:36:22,4624,SYSTEM,NT AUTHORITY,0,-,-,,-
2018-12-07 04:36:23,4624,UMFD-0,Font Driver Host,2,Advapi  ,-,C:\Windows\System32\wininit.exe,-
2018-12-07 04:36:23,4624,UMFD-1,Font Driver Host,2,Advapi  ,-,C:\Windows\System32\winlogon.exe,-
2018-12-07 04:36:23,4624,DWM-1,Window Manager,2,Advapi  ,-,C:\Windows\System32\winlogon.exe,-
2018-12-07 04:36:23,4624,DWM-1,Window Manager,2,Advapi  ,-,C:\Windows\System32\winlogon.exe,-
2018-12-07 04:36:47,4624,ANONYMOUS LOGON,NT AUTHORITY,3,NtLmSsp ,-,-,-
2018-12-07 04:37:12,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-07 04:37:12,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-07 04:37:19,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
2018-12-07 04:37:19,4624,SANSDFIR,SANS-SIFT,2,User32 ,SANS-SIFT,C:\Windows\System32\svchost.exe,127.0.0.1
