"TimeCreated","EventID","LogonUserName","SessionID","SourceIP"
"9/6/2018 10:35:12 PM","21"," shieldbase\tdungan"," 1"," LOCAL"
"9/5/2018 8:26:06 PM","21"," shieldbase\spsql"," 10"," 172.16.6.14"
"9/5/2018 3:08:14 PM","21"," shieldbase\spsql"," 9"," 172.16.6.14"
"9/5/2018 2:17:52 PM","21"," shieldbase\spsql"," 8"," 172.16.6.14"
"9/5/2018 2:02:23 PM","21"," shieldbase\spsql"," 7"," 172.16.6.14"
"9/5/2018 1:51:53 PM","21"," shieldbase\spsql"," 6"," 172.16.6.14"
"8/31/2018 8:28:23 PM","21"," shieldbase\spsql"," 5"," 172.16.6.14"
"8/31/2018 5:21:30 PM","21"," shieldbase\spsql"," 4"," 172.16.6.14"
"8/31/2018 4:52:33 PM","21"," shieldbase\spsql"," 2"," 172.16.6.14"
"8/30/2018 3:53:41 PM","21"," shieldbase\tdungan"," 1"," LOCAL"
"8/28/2018 11:39:18 PM","21"," shieldbase\spsql"," 2"," 172.16.6.14"
"8/6/2018 9:22:29 PM","21"," shieldbase\tdungan"," 1"," LOCAL"
"6/7/2018 9:21:11 PM","21"," shieldbase\tdungan"," 1"," LOCAL"
"6/1/2018 8:50:25 PM","21"," shieldbase\tdungan"," 1"," LOCAL"
"5/25/2018 9:04:52 PM","21"," shieldbase\Administrator"," 1"," LOCAL"
"5/25/2018 8:45:40 PM","21"," shieldbase\Administrator"," 2"," LOCAL"
"5/25/2018 1:51:37 AM","21"," shieldbase\tdungan"," 1"," LOCAL"
"5/14/2018 2:14:13 PM","21"," shieldbase\tdungan"," 1"," LOCAL"
"5/14/2018 7:18:14 AM","21"," shieldbase\Administrator"," 1"," LOCAL"
"5/11/2018 10:03:28 PM","21"," shieldbase\tdungan"," 1"," LOCAL"
"5/11/2018 9:26:37 PM","21"," shieldbase\tdungan"," 1"," LOCAL"
"5/8/2018 11:54:51 PM","21"," shieldbase\Administrator"," 1"," LOCAL"
"5/8/2018 4:37:06 PM","21"," shieldbase\Administrator"," 2"," LOCAL"
"5/8/2018 4:35:52 PM","21"," shieldbase\administrator"," 1"," LOCAL"
"5/7/2018 11:53:20 PM","21"," shieldbase\administrator"," 1"," LOCAL"
"5/7/2018 9:25:30 PM","21"," MICROSO-F9QCQ4I\defaultuser1"," 1"," LOCAL"
"5/4/2018 8:30:42 PM","21"," WIN10-TEST\Administrator"," 1"," LOCAL"
