"TimeCreated","LogonUsername","AccountDomain","LogonID","LogonType","AuthPackage","SourceWorkstation","ProcessName","SourceIP","EventID"
"8/3/2018 2:13:40 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/3/2018 1:49:51 PM","BASE-RD-01$","SHIELDBASE","1388704321","3","Kerberos","-","-","127.0.0.1","4624"
"8/3/2018 1:23:25 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/3/2018 1:13:39 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/3/2018 12:04:51 PM","BASE-RD-01$","SHIELDBASE","1386836102","3","Kerberos","-","-","127.0.0.1","4624"
"8/3/2018 10:19:52 AM","BASE-RD-01$","SHIELDBASE","1385178491","3","Kerberos","-","-","127.0.0.1","4624"
"8/3/2018 9:39:12 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/3/2018 9:13:38 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/3/2018 8:34:51 AM","BASE-RD-01$","SHIELDBASE","1383277037","3","Kerberos","-","-","127.0.0.1","4624"
"8/3/2018 8:09:58 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/3/2018 6:49:52 AM","BASE-RD-01$","SHIELDBASE","1381454973","3","Kerberos","-","-","127.0.0.1","4624"
"8/3/2018 6:19:49 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/3/2018 6:19:48 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/3/2018 6:19:48 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/3/2018 6:19:47 AM","BASE-RD-01$","SHIELDBASE","1380665169","3","Kerberos","-","-","-","4624"
"8/3/2018 5:13:37 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/3/2018 5:04:51 AM","BASE-RD-01$","SHIELDBASE","1379064746","3","Kerberos","-","-","127.0.0.1","4624"
"8/3/2018 4:35:15 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/3/2018 3:19:52 AM","BASE-RD-01$","SHIELDBASE","1377288949","3","Kerberos","-","-","127.0.0.1","4624"
"8/3/2018 2:00:39 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/3/2018 1:34:52 AM","BASE-RD-01$","SHIELDBASE","1375449412","3","Kerberos","-","-","127.0.0.1","4624"
"8/3/2018 1:13:36 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/2/2018 11:49:51 PM","BASE-RD-01$","SHIELDBASE","1373467828","3","Kerberos","-","-","127.0.0.1","4624"
"8/2/2018 11:15:14 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/2/2018 11:09:36 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/2/2018 11:09:36 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/2/2018 10:55:45 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/2/2018 10:42:51 PM","tdungan","shieldbase","1371535460","7","Negotiate","BASE-RD-01","C:\Windows\System32\lsass.exe","-","4624"
"8/2/2018 10:42:51 PM","tdungan","shieldbase","1371535388","1","Negotiate","BASE-RD-01","C:\Windows\System32\svchost.exe","127.0.0.1","4624"
"8/2/2018 10:19:47 PM","BASE-RD-01$","SHIELDBASE","1371062706","3","Kerberos","-","-","-","4624"
"8/2/2018 10:04:52 PM","BASE-RD-01$","SHIELDBASE","1370803443","3","Kerberos","-","-","127.0.0.1","4624"
"8/2/2018 9:13:34 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/2/2018 8:19:51 PM","BASE-RD-01$","SHIELDBASE","1368912515","3","Kerberos","-","-","127.0.0.1","4624"
"8/2/2018 6:41:38 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/2/2018 6:34:52 PM","BASE-RD-01$","SHIELDBASE","1366869835","3","Kerberos","-","-","127.0.0.1","4624"
"8/2/2018 5:13:33 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/2/2018 5:11:28 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/2/2018 4:49:51 PM","BASE-RD-01$","SHIELDBASE","1364864939","3","Kerberos","-","-","127.0.0.1","4624"
"8/2/2018 3:04:51 PM","BASE-RD-01$","SHIELDBASE","1362961541","3","Kerberos","-","-","127.0.0.1","4624"
"8/2/2018 2:19:47 PM","BASE-RD-01$","SHIELDBASE","1362119429","3","Kerberos","-","-","-","4624"
"8/2/2018 2:13:32 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/2/2018 1:19:52 PM","BASE-RD-01$","SHIELDBASE","1360961868","3","Kerberos","-","-","127.0.0.1","4624"
"8/2/2018 1:13:31 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/2/2018 11:51:13 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/2/2018 11:34:51 AM","BASE-RD-01$","SHIELDBASE","1359159126","3","Kerberos","-","-","127.0.0.1","4624"
"8/2/2018 10:41:57 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/2/2018 9:49:51 AM","BASE-RD-01$","SHIELDBASE","1357248809","3","Kerberos","-","-","127.0.0.1","4624"
"8/2/2018 9:13:30 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/2/2018 9:06:56 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/2/2018 8:04:52 AM","BASE-RD-01$","SHIELDBASE","1355276624","3","Kerberos","-","-","127.0.0.1","4624"
"8/2/2018 6:19:52 AM","BASE-RD-01$","SHIELDBASE","1353201059","3","Kerberos","-","-","127.0.0.1","4624"
"8/2/2018 6:19:48 AM","BASE-RD-01$","SHIELDBASE","1353197401","3","Kerberos","-","-","-","4624"
"8/2/2018 6:07:03 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/2/2018 5:58:44 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/2/2018 5:57:29 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/2/2018 5:57:29 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/2/2018 5:54:10 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/2/2018 5:47:03 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/2/2018 5:46:54 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/2/2018 5:46:52 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/2/2018 5:46:51 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/2/2018 5:46:51 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/2/2018 5:28:12 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/2/2018 5:23:22 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/2/2018 5:19:44 AM","tdungan","shieldbase","1349972139","7","Negotiate","BASE-RD-01","C:\Windows\System32\lsass.exe","-","4624"
"8/2/2018 5:19:44 AM","tdungan","shieldbase","1349971937","7","Negotiate","BASE-RD-01","C:\Windows\System32\svchost.exe","192.168.30.10","4624"
"8/2/2018 5:19:42 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/2/2018 5:19:25 AM","tdungan","shieldbase","1349944864","3","Negotiate","BASE-RD-01","C:\Windows\System32\svchost.exe","-","4624"
"8/2/2018 5:13:30 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/2/2018 4:34:52 AM","BASE-RD-01$","SHIELDBASE","1348987214","3","Kerberos","-","-","127.0.0.1","4624"
"8/2/2018 4:04:26 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/2/2018 2:49:52 AM","BASE-RD-01$","SHIELDBASE","1346658984","3","Kerberos","-","-","127.0.0.1","4624"
"8/2/2018 2:00:30 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/2/2018 1:13:28 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/2/2018 1:04:52 AM","BASE-RD-01$","SHIELDBASE","1344264215","3","Kerberos","-","-","127.0.0.1","4624"
"8/2/2018 12:21:18 AM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/1/2018 11:19:52 PM","BASE-RD-01$","SHIELDBASE","1342051515","3","Kerberos","-","-","127.0.0.1","4624"
"8/1/2018 10:19:48 PM","BASE-RD-01$","SHIELDBASE","1340734728","3","Kerberos","-","-","-","4624"
"8/1/2018 9:34:52 PM","BASE-RD-01$","SHIELDBASE","1339835817","3","Kerberos","-","-","127.0.0.1","4624"
"8/1/2018 9:13:27 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
"8/1/2018 7:49:52 PM","BASE-RD-01$","SHIELDBASE","1337475555","3","Kerberos","-","-","127.0.0.1","4624"
"8/1/2018 6:46:18 PM","SYSTEM","NT","999","5","Negotiate","-","C:\Windows\System32\services.exe","-","4624"
